German,English
das Beispiel,the example
das Ende,the end
das Geld,the money
das Haus,the house
das Jahr,the year
das Kind,the child
das Land,the country / land
das Leben,the life
das Mädchen,the girl
das Mal,the time (number of times)
das Problem,the problem
das Prozent,the percent
das Recht,the right / law
der Abend,the evening / eve / night
der Fall,the fall
der Freund,the friend (male)
die Freundin,the friend (female)
der Herr,the man / gentleman / Mr.
der Junge,the boy
der Mann,the man
der Mensch,the human being / man
der Tag,the day
die Angst,the fear / anxiety
die Arbeit,the work / job
die Frage,the question
die Frau,the woman / wife / Mrs.
die Hand,the hand
die Leute,the people
die Million,the million
die Stadt,the city
die Welt,the world
die Zeit,the time
der Mann,the man
die Frau,the woman
das Kind,the kid
die Kinder,the kids
das Auto, the car / the cars
das Radio / die Radios,the radio / the radios
die Kamera / die Kameras,the camera / the cameras
